org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
Other (please specify):,Executive-level leadership,Yes,"Contacting PaymentWorks,Viewing Payment Status,Updating Company Information,Updating Remittance Details","Finding guidance on PaymentWorks actions,Supplier Registration",The person ordering the goods or services,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,,,,,,,,,,,,,
Large Business,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Other (Please specify):,2 – Somewhat Unclear,No
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,,,,,,,,,
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Email,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Registering for Transcepta,Viewing invoice submission status.","Receiving notifications about invoice errors/rejections,Viewing invoice submission status.","Procurement (pohelp@ucsd.edu),I am unsure who to contact",I am not aware of any of these resources,I have never utilized these resources or support,2 – Somewhat Unclear,Yes
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Registering for Transcepta,Viewing invoice submission status.","N/A, I've never heard of Transcepta",Transcepta Portal and Knowledge Base,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,Yes
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Registering for Transcepta,None of the Above,Transcepta Support,Payee Newsletter,I have not experienced any difficulties,1 – Extremely Unclear,Yes
Small Business (per SBA standards),Other:,Yes,"Contacting PaymentWorks,Updating Remittance Details,Finding guidance on PaymentWorks actions,Supplier Registration","Contacting PaymentWorks,Supplier Registration,Updating Company Information",Procurement (pohelp@ucsd.edu),,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,"Viewing Payment Status,Supplier Registration,Contacting PaymentWorks,Updating Company Information","Contacting PaymentWorks,Updating Company Information","Procurement (pohelp@ucsd.edu),Other (please specify):",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,Other (Please specify):,3 – Neutral,Yes
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,Yes
Sole Proprietor / Individual,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have never utilized these resources or support,5 – Extremely Clear,Yes
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Web Portal (PO flip and manual creation),"Viewing invoice submission status.,Finding guidance on Transcepta actions.,Registering for Transcepta","Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.","Accounts Payable (payables@ucsd.edu),I am unsure who to contact",Other (Please specify):,Other (Please specify):,3 – Neutral,No
Sole Proprietor / Individual,Accounts receivable,Yes,"Updating Company Information,Viewing Payment Status","Finding guidance on PaymentWorks actions,Contacting PaymentWorks,Updating Remittance Details",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),"Receiving notifications about invoice errors/rejections,Registering for Transcepta",None of the Above,"I am unsure who to contact,Transcepta Support",Other (Please specify):,I have not experienced any difficulties,5 – Extremely Clear,No
Large Business,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Web Portal (PO flip and manual creation),"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,No
Non-Profit Organization,Administrative support,Yes,Updating Company Information,None of the above,PaymentWorks Support,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Finding guidance on Transcepta actions.,Viewing invoice submission status.,Registering for Transcepta,Receiving notifications about invoice errors/rejections","Finding guidance on Transcepta actions.,Registering for Transcepta","Other (please specify):,I am unsure who to contact",I am not aware of any of these resources,I have never utilized these resources or support,2 – Somewhat Unclear,Yes
Sole Proprietor / Individual,Executive-level leadership,Yes,Updating Company Information,"Contacting PaymentWorks,Finding guidance on PaymentWorks actions,Updating Remittance Details","I am unsure who to contact,Accounts Payable (payables@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,"Accounts Payable (payables@ucsd.edu),Transcepta Support",I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,No
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Email,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.","N/A, I've never heard of Transcepta","Transcepta Portal and Knowledge Base,The person ordering the goods or services",I am not aware of any of these resources,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,No
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,Other (Please specify):,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,Yes,Contacting PaymentWorks,None of the above,"PaymentWorks' Payee Knowledge Base,PaymentWorks Support",Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Viewing invoice submission status.,"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.","The person ordering the goods or services,Transcepta Support",Other (Please specify):,I have never utilized these resources or support,2 – Somewhat Unclear,Yes
Large Business,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,3 – Neutral,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,Yes,"Finding guidance on PaymentWorks actions,Viewing Payment Status,Updating Remittance Details,Updating Company Information","Viewing Payment Status,Contacting PaymentWorks,Updating Remittance Details",Procurement (pohelp@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,I have not experienced any difficulties,3 – Neutral,No
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Other:,"Registering for Transcepta,Viewing invoice submission status.,Finding guidance on Transcepta actions.",None of the Above,The person ordering the goods or services,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,1 – Extremely Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have not experienced any difficulties,4 – Somewhat Clear,No
Non-Profit Organization,Accounts receivable,Yes,"Updating Company Information,Updating Remittance Details,Supplier Registration,Viewing Payment Status",Updating Remittance Details,"PaymentWorks Support,Other (please specify):",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Newsletter,I have never utilized these resources or support,4 – Somewhat Clear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Email,"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.,Registering for Transcepta","Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.",The person ordering the goods or services,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Sole Proprietor / Individual,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Email,"N/A, I've never heard of Transcepta","Registering for Transcepta,Receiving notifications about invoice errors/rejections",Procurement (pohelp@ucsd.edu),Other (Please specify):,Other (Please specify):,4 – Somewhat Clear,No
Sole Proprietor / Individual,Executive-level leadership,Yes,Updating Remittance Details,Finding guidance on PaymentWorks actions,PaymentWorks' Payee Knowledge Base,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,5 – Extremely Clear,No
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,2 – Somewhat Unclear,No
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Receiving notifications about invoice errors/rejections,Registering for Transcepta,"I am unsure who to contact,Accounts Payable (payables@ucsd.edu)",Other (Please specify):,I have not experienced any difficulties,4 – Somewhat Clear,Yes
Non-Profit Organization,Accounts receivable,,,,,,,,,,,,,
Large Business,Other:,Yes,None of the above,"Updating Company Information,Supplier Registration,Contacting PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Other:,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Transcepta Portal and Knowledge Base,Payee Onboarding Guide,I have never utilized these resources or support,5 – Extremely Clear,No
Sole Proprietor / Individual,Accounts receivable,,,,,,,,,,,,,
Small Business (per SBA standards),Administrative support,Yes,Updating Company Information,"Finding guidance on PaymentWorks actions,Contacting PaymentWorks,Updating Remittance Details","The person ordering the goods or services,Procurement (pohelp@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have never utilized these resources or support,2 – Somewhat Unclear,No
Non-Profit Organization,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),"Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.,Registering for Transcepta","Finding guidance on Transcepta actions.,Registering for Transcepta,Receiving notifications about invoice errors/rejections",The person ordering the goods or services,Payee Onboarding Guide,Other (Please specify):,4 – Somewhat Clear,Yes
Sole Proprietor / Individual,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Other (Please specify):,1 – Extremely Unclear,No
Large Business,Executive-level leadership,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,,,,,,,,,,,,,
Sole Proprietor / Individual,Executive-level leadership,Yes,"N/A, I've never heard of PaymentWorks",Updating Company Information,Procurement (pohelp@ucsd.edu),,,,,,,,,
Sole Proprietor / Individual,Other:,,,,,,,,,,,,,
Sole Proprietor / Individual,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,I have not experienced any difficulties,4 – Somewhat Clear,No
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have not experienced any difficulties,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,Yes,Updating Company Information,None of the above,Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,No
Large Business,Sales,Yes,None of the above,"N/A, I've never heard of PaymentWorks","PaymentWorks' Payee Knowledge Base,I am unsure who to contact",Yes,Other:,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Registering for Transcepta,Viewing invoice submission status.","Viewing invoice submission status.,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",The person ordering the goods or services,Payee Onboarding Guide,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.",None of the Above,"Accounts Payable (payables@ucsd.edu),Other (please specify):",I am not aware of any of these resources,I have never utilized these resources or support,3 – Neutral,Yes
Sole Proprietor / Individual,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Electronic Data Interchange (EDI),"Receiving notifications about invoice errors/rejections,Registering for Transcepta,Finding guidance on Transcepta actions.,Viewing invoice submission status.",Receiving notifications about invoice errors/rejections,Accounts Payable (payables@ucsd.edu),Other (Please specify):,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Small Business (per SBA standards),Other:,Yes,None of the above,"N/A, I've never heard of PaymentWorks",The person ordering the goods or services,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,I have never utilized these resources or support,1 – Extremely Unclear,Yes
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,1 – Extremely Unclear,No
Other (please specify):,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,Yes
Sole Proprietor / Individual,Sales,Yes,"Supplier Registration,Updating Company Information,Viewing Payment Status,Finding guidance on PaymentWorks actions","Supplier Registration,Viewing Payment Status",The person ordering the goods or services,,,,,,,,,
Large Business,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,5 – Extremely Clear,Yes
Non-Profit Organization,Accounts receivable,Yes,"Finding guidance on PaymentWorks actions,Contacting PaymentWorks,Supplier Registration,Updating Remittance Details","N/A, I've never heard of PaymentWorks",Procurement (pohelp@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,Yes
Other (please specify):,Other:,,,,,,,,,,,,,
Large Business,Accounts receivable,Yes,Updating Remittance Details,"Viewing Payment Status,Finding guidance on PaymentWorks actions,Contacting PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,5 – Extremely Clear,No
Non-Profit Organization,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Other (Please specify):,1 – Extremely Unclear,No
Small Business (per SBA standards),Sales,Yes,"Updating Remittance Details,Supplier Registration,Finding guidance on PaymentWorks actions","Updating Remittance Details,Viewing Payment Status","PaymentWorks Support,I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks","The person ordering the goods or services,Procurement (pohelp@ucsd.edu)",Yes,Other:,"Finding guidance on Transcepta actions.,Viewing invoice submission status.",Viewing invoice submission status.,"Accounts Payable (payables@ucsd.edu),I am unsure who to contact",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,5 – Extremely Clear,Yes
Non-Profit Organization,Other:,Yes,"Updating Remittance Details,Viewing Payment Status,Updating Company Information",None of the above,The person ordering the goods or services,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Receiving notifications about invoice errors/rejections,"Registering for Transcepta,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.",I am unsure who to contact,Payee Newsletter,Other (Please specify):,1 – Extremely Unclear,Yes
Large Business,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,Other (Please specify):,2 – Somewhat Unclear,Yes
