org_type_other,role_other,paymentworks_actions_text,paymentworks_difficulties_text,paymentworks_support_other,paymentworks_issues_open,invoice_submission_other,transcepta_interactions_text,transcepta_difficulties_text,transcepta_support_other,transcepta_issues_open,ipps_resources_other,ipps_difficulties_other,po_clarity_text,suggestions_open
,,"I thought we used PaymentWorks for invoicing, but my notes say Transcepta. Still unclear what PaymentWorks is for.",,,,,,,,,,,,It's nearly impossible to communicate with a real person. I suspect that is by design. But it makes it very hard to figure out issues.
,,,,,A Client status says Registration Approved but it never advanced to Connected.,,N/A — I've never interacted with Transcepta directly.,Transcepta is awful for small businesses — almost all of us use QuickBooks or QBO.,"We didn't choose to use this portal — your organization did. You should be the point of contact for issues, not a third-party vendor.",,,,,
,,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,,,,,,,,,,,A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
Educational Institution,,,"Things that are not important for me — I do not remember, so it is probably fine.",,"Again, never heard of this — I used to send invoices to the manager, now I use Transcepta.",,,,Accounting department.,One invoice was approved but never paid when the AP clerk on my account changed.,,,,
,,,,,,i need to check what i used,,,,,,,,
,,,,,,,,,,,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,
,,,,,,,N/A — I've never interacted with Transcepta directly.,,,,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
,,,"Getting what method of payment was set. It was a credit card at one time, now a transfer.",,The customers use PaymentWorks. Our company does not interact with it directly.,,,,,,,Payables@ucsd.edu is not very helpful.,,
,,,,,,,,,I don't know what else to tell you.,,I have created my own set of instructions — a how-to document to navigate this system.,I'm a small business. Spending time on administrative tasks that should take minutes costs money and productivity.,,
,Owner and Software Developer,,,,,,,,,,,,,
Cooperative,,,,,,,,,I don't know what else to tell you.,,,,,
,,,,,,,,,,,,,,
,Owner/Operator,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,,,
,,,,,,,,,MedEd AP person or my project manager.,,,Being referred to self-help when the issue required direct human assistance.,,
,,,,,,,,,,"I was directed to Transcepta only after all other stages were complete and work had been done for two months. Invoices in one system, payment info in another, status updates in another. Very convoluted.",,,,
,,,,,,,,,,,,,,
,,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,,,,,,Have not used it yet.,,,,,
,,,,,,,N/A — I've never interacted with Transcepta directly.,,,,Been too long. Do not remember.,,,I believe the process could be greatly improved by having a single point of contact instead of multiple portals.
,,,,,Several tickets opened to support. Vendor is unable to view remittance information. Matter still open without resolution.,,,Viewing invoice submission status was the main issue.,,,,,,
,,,,,,,,Been too long. Do not remember.,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,
,,,,,,,Been too long. Do not remember.,,,Been too long. Do not remember.,,,,
,,,,,I had a horrible experience as a UC San Diego supplier.,,,Been too long. Do not remember.,,Been too long. Do not remember.,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,,,,,,,,,,
,,,,,,,,,Accounting department.,,,,,
,,I rarely use PaymentWorks — only log in when UCSD requires an update.,Haven't had issues yet.,,,,,,,,,,,
Cooperative,,,,I am having significant issues — it is not functional.,,,,,Have not used it yet.,,I have created my own set of instructions — a how-to document to navigate this system.,,,
,,,,,You are paying us. We should not have to register in your internal processing portal. AP specialists at your organization should be handling this.,i need to check what i used,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,,,
,,,,,,,,,,"Transcepta creates much more work for the supplier. It requires re-entering all information from our own invoices item by item, line by line. We prefer to submit our company-generated invoices directly.",,Read comment above. The issue isn't having enough support — it's about having an easy-to-use system that does things right the first time.,,
,,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,,,,,,,,,,,
,Agriculture sales,,,,,,,,,,,,,Thank you for the continued efforts to improve supplier experience. More streamlined guidance would be appreciated.
,,,,,,Print it out and give it to the manager of the store.,N/A — I've never interacted with Transcepta directly.,I do not recall.,,,Other resources found via Google.,,,
,,,,,"Unless forced to submit via Transcepta, we do not use it. Our customers receive invoices emailed directly.",i need to check what i used,,,"We didn't choose to use this portal — your organization did. You should be the point of contact for issues, not a third-party vendor.",,,,,
,,,"Things that are not important for me — I do not remember, so it is probably fine.",,,,,,,,,,kept referring me to self-help,
,,,,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,,,,I have created my own set of instructions — a how-to document to navigate this system.,,,
,,,,We have not used PaymentWorks.,,,,,,,Been too long. Do not remember.,,,Please change this process as soon as possible. You are paying us — we issue an invoice with payment instructions and it is your organization's responsibility to match it to internal POs.
,,,,,,,,,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,,
,Engineering Sales & Service,,,,,,,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,kept referring me to self-help,
,,,,,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,,,,,,,Optional — please elaborate on your choice.,
,,,,,Getting paid for invoices submitted has been the main challenge.,,,,,,,I'm a small business. Spending time on administrative tasks that should take minutes costs money and productivity.,,
,role in what? The question makes no sense.,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,,,,,,,Department administrator shared a guide.,,,
,,,I do not recall having difficulties.,,,,,,,,,,,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
,,,,,,,,,,,,,,Been too long. Do not remember.
,,,,,,,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,
,,,,,,,,,,,,,,
,Media Trainer,,,,,,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,Read comment above. The issue isn't having enough support — it's about having an easy-to-use system that does things right the first time.,,
,,,,,,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,,,,,
,,,,Accounting department internally.,,,,,,,,,,Unbelievable that in the age of AI you still require manual invoice mapping. QuickBooks does this automatically.
,,,,,,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,,,,Clear but the support for issues with the process was lacking.,
,,,,,,,,,,,,,,
,,,,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,I've spoken with Customer Service multiple times. They had different instructions than what was provided and admitted their QBO interface was not good.,,,,,,,
,,,,,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,Dispatch Manager,,,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,,,
,,,,,,,N/A — I've never interacted with Transcepta directly.,No issues. Transcepta is very easy to use.,,,,,,
,,Is this the same as your Transcepta system?,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,We have not used PaymentWorks.,,,,,,,,,,
,Media Trainer,,,,,,,,,,,kept referring me to self-help and Transcepta support,,
,,I rarely use PaymentWorks — only log in when UCSD requires an update.,,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,,,
,,,"Things that are not important for me — I do not remember, so it is probably fine.",,,"Unless forced to submit via Transcepta, we do not use Transcepta. Our customers receive invoices emailed to their AP or business email.",,,,,I have created my own set of instructions — a how-to document to navigate this system.,,,
,,,,,,,,,,,,,,Been too long. Do not remember.
,Live Bee removal,,,,Been too long. Do not remember.,,,,,,,kept referring me to self-help and Transcepta support,,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,,,,,,,N/A — I've never interacted with Transcepta directly.,,,,,,,
Certified WBE,,,,,Very challenging given requirements. I've created my own how-to document to navigate this.,,,,,,,,,
,,,,,"Registered four times. All futile. Keeps asking for correct Tax ID, always rejects with no explanation. A phone call would fix it in two minutes. Staff response is mainly 'log in again and retry.' Frankly, PaymentWorks is amazingly complex and inefficient.",,Optional — please elaborate on choices selected.,,,,,,,
,"AP, Purchasing, Estimator, AR, Sales",,,,,,,Transcepta is awful for small businesses — almost all of us use QuickBooks or QBO.,,,,,,
,,,,,,,,I do not recall.,,,,,,
,Manager,,Very challenging given the requirements to submit for reimbursement.,,,,,,,,,,,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
,Owner/Operator,,,,,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,,,,,
,Engineering Sales & Service,,"Getting what method of payment was set. It was a credit card at one time, now a transfer.",,,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,,,,,
,Owner,,,We have not used PaymentWorks.,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,One invoice was approved but never paid when the AP clerk on my account changed.,,Read comment above. The issue isn't having enough support — it's about having an easy-to-use system that does things right the first time.,,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,Owner/Service Engineer,,,,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,,
,,,,,,,,,,,,,,
,,I rarely use PaymentWorks — only log in when UCSD requires an update.,,,,,,,,,Been too long. Do not remember.,,,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
,,,,,,,,,,,,,,
,,,,,I had a difficult time connecting with a PaymentWorks representative initially.,Print it out and give it to the manager of the store.,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,
,,,,,,,Been too long. Do not remember.,,,,,,,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
"Smaller, privately owned business but not per SBA standards",,,,,,,,,,,,,,
,,,,,,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,,,,,A telephone number for supplier support would be very helpful. It used to be possible to contact a person directly. Much more efficient than now.
,,,,,Very challenging given requirements. I've created my own how-to document to navigate this.,,,,,,Department administrator shared a guide.,,,
,Office Manager,,,,,,,,,,,,kept referring me to self-help,
INGO,,,,Have not used it yet.,,,,Viewing invoice submission status was the main issue.,,,,,,
,,I rarely use PaymentWorks — only log in when UCSD requires an update.,,,"Again, never heard of this — I used to send invoices to the manager, now I use Transcepta.",,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,Clear but the support for issues with the process was lacking.,Communication — simple and straightforward. That may be something to implement.
,,,,,,,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,
,,,,,,,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,
,,,,,,EMAIL. You are paying us. We should not have to register in your internal portal.,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,,
,,,,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,,,Been too long. Do not remember.,,,"My most recent PO communication came directly from a real person, not from these systems.",
,,,,I haven't had an issue.,,QBO (QuickBooks Online),,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,,,,,Been too long. Do not remember.
,,,Very challenging given the requirements to submit for reimbursement.,,,,,,,,,Being referred to self-help when the issue required direct human assistance.,"My most recent PO communication came directly from a real person, not from these systems.",
,,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,Getting paid for invoices submitted has been the main challenge.,,,,,,,Been too long. Do not remember.,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Been too long. Do not remember.
,,,,,,,,,,,,,,
,Dispatch Manager,,,,,Email directly to AP contact.,N/A — I've never interacted with Transcepta directly.,,,,,,,
,Teaching,,"Getting what method of payment was set. It was a credit card at one time, now a transfer.",Never heard of PaymentWorks before this survey.,,,,,,Transcepta is doing nothing but creating delays in payment. Small businesses cannot afford to carry receivables.,,,,
,,,,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,,,,,,,
,Media Trainer,,,,,,,,,,Been too long. Do not remember.,,,I don't recall enough to provide meaningful feedback at this time.
,Owner/Operations,,,,,Been too long. Do not remember.,,I do not recall.,,,,Being referred to self-help when the issue required direct human assistance.,,
,,,,,,,,Viewing invoice submission status was the main issue.,,,,,,
,,,,,,,,,MedEd AP person or my project manager.,,Been too long. Do not remember.,,,
,,,,,,,Been too long. Do not remember.,,,,,,,
,,,I do not recall having difficulties.,,,,,,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.","I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,,,,,,,I do not recall.,,,,,,,"Consider that if a company has to have that many resources to solve issues, it's not a good system."
,,,"Things that are not important for me — I do not remember, so it is probably fine.",,,,,,,,,,,Please change this process as soon as possible. You are paying us — we issue an invoice with payment instructions and it is your organization's responsibility to match it to internal POs.
,Customer/training/success,,,,,,,,,,,,"My most recent PO communication came directly from a real person, not from these systems.",Renew POs much faster for existing vendors. I shouldn't have to shuffle work to account for multiple months of non-payment while this gets sorted out.
,,"I thought we used PaymentWorks for invoicing, but my notes say Transcepta. Still unclear what PaymentWorks is for.",I do not recall having difficulties.,,,,,,,,,,,
,,,Very challenging given the requirements to submit for reimbursement.,,"Unless forced to submit via Transcepta, we do not use it. Our customers receive invoices emailed directly.",,Been too long. Do not remember.,,,,,,"My most recent PO communication came directly from a real person, not from these systems.",Been too long. Do not remember.
DBE CA,,,,,,,,,,,,,,
,,,,,,,N/A — I've never interacted with Transcepta directly.,,,,,,,
,,,,,,,,,,,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,"Consider that if a company has to have that many resources to solve issues, it's not a good system."
,,,,,,,,,,,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,,,,,,,,,,,,,,
,,,,,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,I do not recall.,,,,,,,I believe the process could be greatly improved by having a single point of contact instead of multiple portals.
,role in what? The question makes no sense.,,Registered four times. Always rejected with no explanation. A simple phone call would resolve it in two minutes.,,,,,,,,,,,
,,,,,,,,,,,Been too long. Do not remember.,Payables@ucsd.edu is not very helpful.,,
,,,,,,,,,I don't know what else to tell you.,,,,,
,,,,,,,,,,,,,,
